fuji-vlog-provia	vlog	{"contrast": 0.987, "saturation": 1.216, "mono_spread": 0.885215, "black_level": 0.0, "white_level": 0.9617, "shadow_chroma": 0.001, "highlight_chroma": 0.001, "shadow_hue": 51.4, "highlight_hue": 51.5, "split_angle": 0.1, "skin_ratio": 1.339}	input:vlog,膚色濃,高飽和
fuji-vlog-reala-ace	vlog	{"contrast": 1.057, "saturation": 1.252, "mono_spread": 0.857995, "black_level": 0.0, "white_level": 0.9642, "shadow_chroma": 0.0011, "highlight_chroma": 0.0009, "shadow_hue": 51.3, "highlight_hue": 51.5, "split_angle": 0.1, "skin_ratio": 1.424}	input:vlog,膚色濃,高飽和
fuji-vlog-sepia	vlog	{"contrast": 0.945, "saturation": 0.613, "mono_spread": 0.246567, "black_level": 0.0, "white_level": 0.9535, "shadow_chroma": 0.0547, "highlight_chroma": 0.0298, "shadow_hue": 74.0, "highlight_hue": 74.0, "split_angle": 0.0, "skin_ratio": 2.039}	input:vlog,低飽和,暖調,膚色濃
fuji-vlog-velvia	vlog	{"contrast": 1.082, "saturation": 1.815, "mono_spread": 0.968534, "black_level": 0.0, "white_level": 0.9686, "shadow_chroma": 0.0015, "highlight_chroma": 0.0013, "shadow_hue": 51.3, "highlight_hue": 51.5, "split_angle": 0.1, "skin_ratio": 2.274}	input:vlog,膚色濃,高飽和
ricoh-vlog-bleach-bypass	vlog	{"contrast": 1.251, "saturation": 0.417, "mono_spread": 0.29457, "black_level": 0.0, "white_level": 0.9831, "shadow_chroma": 0.0037, "highlight_chroma": 0.0002, "shadow_hue": 207.4, "highlight_hue": 239.5, "split_angle": 32.0, "skin_ratio": 0.432}	input:vlog,低飽和,接近去彩,膚色收斂,高對比
ricoh-vlog-cinema-green	vlog	{"contrast": 1.06, "saturation": 0.928, "mono_spread": 0.695021, "black_level": 0.0, "white_level": 0.9717, "shadow_chroma": 0.007, "highlight_chroma": 0.008, "shadow_hue": 181.8, "highlight_hue": 211.1, "split_angle": 29.2, "skin_ratio": 0.801}	input:vlog,膚色收斂
ricoh-vlog-cinema-yellow	vlog	{"contrast": 1.064, "saturation": 0.927, "mono_spread": 0.702226, "black_level": 0.0, "white_level": 0.9643, "shadow_chroma": 0.0037, "highlight_chroma": 0.0143, "shadow_hue": 104.8, "highlight_hue": 91.4, "split_angle": 13.4, "skin_ratio": 1.054}	input:vlog,暖調
ricoh-vlog-cross-processing	vlog	{"contrast": 1.164, "saturation": 1.25, "mono_spread": 0.94694, "black_level": 0.0, "white_level": 0.965, "shadow_chroma": 0.0098, "highlight_chroma": 0.0164, "shadow_hue": 198.8, "highlight_hue": 101.8, "split_angle": 97.0, "skin_ratio": 1.36}	input:vlog,分離調色,暖調,膚色濃,高對比,高飽和
ricoh-vlog-hard-monotone	vlog	{"contrast": 1.323, "saturation": 0.0, "mono_spread": 0.0, "black_level": 0.0, "white_level": 0.9828, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 0.0}	input:vlog,高對比,黑白
ricoh-vlog-hdr-tone	vlog	{"contrast": 0.737, "saturation": 0.9, "mono_spread": 0.830304, "black_level": 0.035, "white_level": 0.9782, "shadow_chroma": 0.0007, "highlight_chroma": 0.0009, "shadow_hue": 239.5, "highlight_hue": 239.4, "split_angle": 0.0, "skin_ratio": 0.795}	input:vlog,低對比,膚色收斂
